data,hora,produto,categoria_produto,preco_unitario,quantidade,valor_total,vendedor,tipo_contrato
2022-01-01,15:42,Mistura de Legumes,Legumes,5.88,4,23.52,Carla Mendes,part-time 30h
2022-01-01,10:12,Alcachofra,Legumes,4.75,1,4.75,Gabriela Pinto,part-time 25h
2022-01-01,14:44,Espinafre,Legumes,2.04,2,4.08,Carla Mendes,part-time 30h
2022-01-01,20:31,Cenoura,Legumes,2.36,2,4.72,Fábio Nunes,part-time 25h
2022-01-01,17:49,Mix Asiático,Legumes,5.13,4,20.52,Fábio Nunes,part-time 25h
2022-01-01,10:32,Soja,Legumes,3.04,1,3.04,Ana Silva,full-time
2022-01-01,14:55,Milho Doce,Legumes,5.17,1,5.17,Diogo Rocha,part-time 30h
2022-01-01,10:14,Alcachofra,Legumes,2.96,1,2.96,Bruno Costa,full-time
2022-01-01,9:58,Puré de Tomate,Legumes,5.39,3,16.17,Ana Silva,full-time
2022-01-01,17:20,Lentilha Vermelha,Legumes,2.7,4,10.8,Gabriela Pinto,part-time 25h
2022-01-01,17:55,Pimento Assado,Legumes,2.86,1,2.86,Diogo Rocha,part-time 30h
2022-01-02,15:19,Palmito,Legumes,4.82,3,14.46,Bruno Costa,full-time
2022-01-02,15:41,Palmito,Legumes,5.21,5,26.05,Carla Mendes,part-time 30h
2022-01-02,20:48,Tomate Seco,Legumes,3.98,2,7.96,Diogo Rocha,part-time 30h
2022-01-02,13:03,Lentilha,Legumes,4.72,5,23.6,Eduarda Lopes,part-time 30h
2022-01-02,10:05,Puré de Tomate,Legumes,3.53,1,3.53,Fábio Nunes,part-time 25h
2022-01-02,14:24,Grão de Bico,Legumes,2.4,1,2.4,Fábio Nunes,part-time 25h
2022-01-02,9:51,Mix Mediterrâneo,Legumes,4.37,1,4.37,Diogo Rocha,part-time 30h
2022-01-03,18:28,Lentilha,Legumes,3.73,2,7.46,Diogo Rocha,part-time 30h
2022-01-03,15:47,Feijão Frade,Legumes,5.65,5,28.25,Fábio Nunes,part-time 25h
2022-01-03,12:31,Palmito,Legumes,5.49,5,27.45,Gabriela Pinto,part-time 25h
2022-01-03,20:18,Chucrute,Legumes,3.29,5,16.45,Carla Mendes,part-time 30h
2022-01-03,19:15,Feijão Branco,Legumes,2.43,5,12.15,Ana Silva,full-time
2022-01-03,16:44,Milho Doce,Legumes,2.78,3,8.34,Bruno Costa,full-time
2022-01-03,15:23,Lentilha,Legumes,3.59,1,3.59,Ana Silva,full-time
2022-01-03,17:21,Beterraba,Legumes,4.8,4,19.2,Carla Mendes,part-time 30h
2022-01-03,11:33,Alcachofra,Legumes,3.89,4,15.56,Eduarda Lopes,part-time 30h
2022-01-03,13:18,Tomate Seco,Legumes,5.97,4,23.88,Diogo Rocha,part-time 30h
2022-01-03,10:29,Espinafre,Legumes,5.16,1,5.16,Bruno Costa,full-time
2022-01-03,13:01,Feijão Manteiga,Legumes,2.19,4,8.76,Fábio Nunes,part-time 25h
2022-01-04,14:35,Feijão Vermelho,Legumes,3.59,2,7.18,Ana Silva,full-time
2022-01-04,12:38,Feijão Preto,Legumes,5.37,2,10.74,Fábio Nunes,part-time 25h
2022-01-04,12:45,Espargos,Legumes,3.93,5,19.65,Diogo Rocha,part-time 30h
2022-01-04,11:37,Tomate Seco,Legumes,3.25,1,3.25,Diogo Rocha,part-time 30h
2022-01-04,19:17,Beterraba,Legumes,4.62,1,4.62,Ana Silva,full-time
2022-01-04,17:09,Berinjela,Legumes,5.28,5,26.4,Gabriela Pinto,part-time 25h
2022-01-04,13:35,Alho em Conserva,Legumes,5.86,2,11.72,Diogo Rocha,part-time 30h
2022-01-04,15:16,Pepino em Conserva,Legumes,5.62,4,22.48,Gabriela Pinto,part-time 25h
2022-01-04,9:50,Pimento Amarelo,Legumes,5.63,5,28.15,Diogo Rocha,part-time 30h
2022-01-04,13:21,Lentilha,Legumes,2.07,3,6.21,Diogo Rocha,part-time 30h
2022-01-04,20:44,Abobrinha,Legumes,3.36,5,16.8,Eduarda Lopes,part-time 30h
2022-01-04,17:27,Pimento Vermelho,Legumes,4.12,3,12.36,Ana Silva,full-time
2022-01-05,9:47,Mix Asiático,Legumes,2.12,4,8.48,Gabriela Pinto,part-time 25h
